"","Var1","Freq"
"1","1972-12-27",1
"2","1978-06-28",1
"3","1985-02-09",1
"4","1987-06-22",1
"5","1996-03-01",1
"6","1996-09-13",1
"7","2002-10-04",1
"8","2002-10-05",2
"9","2003-03-10",1
"10","2010-12-06",2
"11","2013-07-24",1
"12","2016-04-16",1
"13","2017",6
"14","2017-08-29",1
"15","2018-08",1
"16","2019",12
"17","2019-03-19",1
"18","2019-06-25",2
"19","2019-10-22",1
"20","2019-12-05",1
"21","2019-12-24",1
"22","2019-12-26",1
"23","2019-12-30",20
"24","2019-12-31",2
"25","2020",4641
"26","2020-01",57
"27","2020-01-01",27
"28","2020-01-02",3
"29","2020-01-03",2
"30","2020-01-05",2
"31","2020-01-08",4
"32","2020-01-10",5
"33","2020-01-11",3
"34","2020-01-13",6
"35","2020-01-14",2
"36","2020-01-15",6
"37","2020-01-16",5
"38","2020-01-17",5
"39","2020-01-18",7
"40","2020-01-19",5
"41","2020-01-20",9
"42","2020-01-21",29
"43","2020-01-22",47
"44","2020-01-23",42
"45","2020-01-24",46
"46","2020-01-25",64
"47","2020-01-26",60
"48","2020-01-27",42
"49","2020-01-28",36
"50","2020-01-29",72
"51","2020-01-30",67
"52","2020-01-31",50
"53","2020-02",72
"54","2020-02-01",55
"55","2020-02-02",53
"56","2020-02-03",45
"57","2020-02-04",43
"58","2020-02-05",47
"59","2020-02-06",37
"60","2020-02-07",36
"61","2020-02-08",50
"62","2020-02-09",42
"63","2020-02-10",33
"64","2020-02-11",35
"65","2020-02-12",31
"66","2020-02-13",23
"67","2020-02-14",22
"68","2020-02-15",52
"69","2020-02-16",37
"70","2020-02-17",62
"71","2020-02-18",25
"72","2020-02-19",31
"73","2020-02-20",47
"74","2020-02-21",57
"75","2020-02-22",58
"76","2020-02-23",49
"77","2020-02-24",76
"78","2020-02-25",79
"79","2020-02-26",85
"80","2020-02-27",118
"81","2020-02-28",194
"82","2020-02-29",145
"83","2020-03",1459
"84","2020-03-01",233
"85","2020-03-02",349
"86","2020-03-03",405
"87","2020-03-04",474
"88","2020-03-05",478
"89","2020-03-06",484
"90","2020-03-07",442
"91","2020-03-08",463
"92","2020-03-09",984
"93","2020-03-10",926
"94","2020-03-11",1031
"95","2020-03-12",1248
"96","2020-03-13",1403
"97","2020-03-14",1282
"98","2020-03-15",1578
"99","2020-03-16",2236
"100","2020-03-17",2204
"101","2020-03-18",2262
"102","2020-03-19",2089
"103","2020-03-20",2194
"104","2020-03-21",1795
"105","2020-03-22",1906
"106","2020-03-23",2911
"107","2020-03-24",2802
"108","2020-03-25",2767
"109","2020-03-26",2776
"110","2020-03-27",2831
"111","2020-03-28",2223
"112","2020-03-29",1934
"113","2020-03-30",2997
"114","2020-03-31",2770
"115","2020-04",1584
"116","2020-04-01",2812
"117","2020-04-02",2383
"118","2020-04-03",2447
"119","2020-04-04",1747
"120","2020-04-05",1464
"121","2020-04-06",2545
"122","2020-04-07",2230
"123","2020-04-08",2209
"124","2020-04-09",1848
"125","2020-04-10",1868
"126","2020-04-11",1550
"127","2020-04-12",1202
"128","2020-04-13",2079
"129","2020-04-14",1932
"130","2020-04-15",1821
"131","2020-04-16",1730
"132","2020-04-17",1696
"133","2020-04-18",1205
"134","2020-04-19",883
"135","2020-04-20",1911
"136","2020-04-21",1568
"137","2020-04-22",1556
"138","2020-04-23",1440
"139","2020-04-24",1332
"140","2020-04-25",931
"141","2020-04-26",808
