Gene Symbol	Gene Product Name	NCBI Gene ID	Locus Name	UniProtKB Accession	GenBank Accession	GenBank Protein Accession	Subtype/Genotype (ViPR)	Strain Name	Collection Date	Host	Country	CDS Length	Virus Type	Virus Species	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA04	KU758872	AML81023.1	Asian	01170	01/2016	Human	French Guiana	2779	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA10	KU758869	AML81020.1	Asian	05211	01/2016	Human	French Guiana	2767	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A120IF34	KU501216	AMC13912.1	Asian	103344	12/01/2015	Human	Guatemala	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A384KMW4	KX262887	ANG09399.1	Asian	103451	01/06/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2H4PVV1	MG366907	ATW74961.1	Asian	15-1136	06/27/2015	Human	Thailand	1515	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA22	KU758875	AML81026.1	Asian	15042	01/2016	Human	French Guiana	2795	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2U7N8K7	MF073359	ARU07076.1	Asian	15098	03/01/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK566202	QBM11757.1	Asian	15098	03/2015	Unknown	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2U7MX72	MF073358	ARU07075.1	Asian	15261	06/01/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A513ZZ05	MN025403	QDH45910.1	West_African	15555	08/2018	Human	Guinea	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2U7NHH0	MF073357	ARU07074.1	Asian	16288	02/01/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA06	KU758870	AML81021.1	Asian	17160	12/2015	Human	French Guiana	2777	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA07	KU758871	AML81022.1	Asian	17170	12/2015	Human	French Guiana	2781	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A172HA24	KU758877	AML81028.1	Asian	17271	12/2015	Human	French Guiana	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D6XWI9	KR872956	ALL27019.1	Asian	17829	2015	Human	Brazil	10278	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3S9W5Q9	MK238035	AZS35407.1	Asian	17844	09/18/2018	Human	India	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA08	KU758873	AML81024.1	Asian	18246	01/2016	Human	French Guiana	2781	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MT084112	QIH53582.1	-N/A-	198	04/2018	Human	Nigeria	107	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YYU1	KX447511	ANO46303.1	Asian	1_0015_PF	01/2014	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YY43	KX447520	ANO46312.1	Asian	1_0016_PF	01/2014	Human	French Polynesia	9641	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YWG4	KX447515	ANO46307.1	Asian	1_0030_PF	11/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YUR2	KX447514	ANO46306.1	Asian	1_0035_PF	01/2014	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YTA8	KX447517	ANO46309.1	Asian	1_0038_PF	01/2014	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A024B7W1	KX447510	ANO46302.1	Asian	1_0049_PF	12/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YYU3	KX447521	ANO46313.1	Asian	1_0080_PF	02/2014	Human	French Polynesia	9274	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A024B7W1	KX447509	ANO46301.1	Asian	1_0087_PF	12/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YTB2	KX447516	ANO46308.1	Asian	1_0111_PF	01/2014	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YTB3	KX447518	ANO46310.1	Asian	1_0117_PF	12/2013	Human	French Polynesia	9062	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YTB0	KX447513	ANO46305.1	Asian	1_0134_PF	12/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A024B7W1	KX447512	ANO46304.1	Asian	1_0181_PF	12/2013	Human	French Polynesia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0YTC3	KX447519	ANO46311.1	Asian	1_0199_PF	11/2013	Human	French Polynesia	9058	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA05	KU758874	AML81025.1	Asian	20114	01/2016	Human	French Guiana	2753	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A288R0K5	KX906952	AOW32303.1	Asian	2016\HND\19563	04/16/2016	Human	Honduras	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN611472	QGA72951.1	Asian	2019YNZIKV02	07/01/2019	Human	China	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3S9W5R8	MK238036	AZS35408.1	Asian	20364	10/10/2018	Human	India	10034	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3S9W5X1	MK238037	AZS35409.1	Asian	20366	10/10/2018	Human	India	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A3S9W5Q4	MK238039	AZS35411.1	Asian	20616	10/11/2018	Human	India	9803	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HB04	KU758876	AML81027.1	Asian	21068	12/2015	Human	Suriname	2778	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3S9W5R0	MK238038	AZS35410.1	Asian	21993	10/15/2018	Human	India	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	-N/A-	MK216746	AZS35393.1	-N/A-	243	01/20/2016	Human	Brazil	494	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A172HA03	KU758868	AML81019.1	Asian	27229	01/2016	Human	French Guiana	2753	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A344X9R7	MH430250	AXE75583.1	Asian	3015.2016	04/01/2016	Human	Viet Nam	1512	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G1TWV2	MH900227	AYG85370.1	Asian	31N	2016	Mosquito	Mexico	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2Z5T5M6	LC331561	BBA85762.1	Asian	3216DP137	2016	Human	Japan	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A345BI38	MH544701	AXF50052.1	Asian	459148_Meta_Colombia_2016	01/17/2016	Unknown	Colombia	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2H4PVT1	MG266396	ATW74935.1	-N/A-	5507_2016hun	12/27/2016	Human	Hungary	296	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2P1CZR5	MG912101	AVK43548.1	Asian	581	01/2017	Human	Mexico	638	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A411EZA3	MK434848	QBA83481.1	-N/A-	7379_2018HU	12/15/2018	Human	Hungary	294	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A344X9R8	MH430251	AXE75584.1	Asian	7575.2016	10/20/2016	Human	Viet Nam	1512	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A344X9R9	MH430252	AXE75585.1	Asian	7581.2016	10/21/2016	Human	Viet Nam	1512	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A344X9S0	MH430253	AXE75586.1	Asian	7623.2016	10/22/2016	Human	Viet Nam	1512	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A120IF34	KU501217	AMC13913.1	Asian	8375	11/01/2015	Human	Guatemala	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B0WV94	KX197205	AND01116.2	Asian	9	12/01/2015	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A2P1CZR2	MG912102	AVK43549.1	Asian	942	02/2017	Human	Mexico	521	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN473450	QFP98589.1	Asian	96622	2016	Human	Canada	9747	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN473451	QFP98590.1	Asian	96623	2016	Human	Canada	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN473452	QFP98591.1	Asian	96624	2016	Human	Canada	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN473453	QFP98592.1	Asian	96625	2016	Human	Canada	10272	Zika virus	Zika virus	
POLY	polyprotein	-N/A-	-N/A-	-N/A-	MN473454	QFP98593.1	Asian	96626	2016	Human	Canada	10272	Zika virus	Zika virus	
