Name	Sequence Accession	Complete Genome	Segment	Segment Length	Subtype	Collection Date	Host Species	Country	State/Province	Flu Season	Strain Name	
HA	HM628693	No	4	1701	H3N2	03/03/2010	IRD:Human	Brazil	-N/A-	-N/A-	A/Acre/15093/2010(H3N2)	
HA	HM628694	No	4	1701	H3N2	04/04/2010	IRD:Human	Brazil	-N/A-	-N/A-	A/Acre/26954/2010(H3N2)	
HA	KT889256	Yes	4	1701	H3N2	09/26/2013	IRD:Human	Ethiopia	-N/A-	-N/A-	A/Addis Ababa/1514A07305892N/2013	
HA	AB847411	No	4	1701	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2-1/1968	
HA	CY121117	Yes	4	1740	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	J02090	Yes	4	1738	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	M55059	Yes	4	1763	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	AB284320	Yes	4	1765	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	AB295605	Yes	4	1731	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	EF614248	Yes	4	1704	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	V01085	Yes	4	1765	H3N2	1968	IRD:Human	Japan	-N/A-	-N/A-	A/Aichi/2/1968	
HA	CY113957	Yes	4	1731	H3N2	1993	IRD:Human	Japan	-N/A-	-N/A-	A/Akita/4/1993	
HA	KC882982	No	4	1701	H3N2	01/05/2011	IRD:Human	USA	Alabama	10-11	A/Alabama/01/2011	
HA	KT841229	Yes	4	1701	H3N2	01/06/2015	IRD:Human	USA	Alabama	14-15	A/Alabama/01/2015	
HA	CY216617	Yes	4	1737	H3N2	01/04/2017	IRD:Human	USA	Alabama	16-17	A/Alabama/01/2017	
HA	MK554942	No	4	1737	H3N2	01/01/2019	IRD:Human	USA	Alabama	18-19	A/Alabama/01/2019	
