"gisaid_epi_isl","Nextstrain_clade","pango_lineage"
"EPI_ISL_1046792","20A","B.1.36"
"EPI_ISL_1034755","20A","B.1.36"
"EPI_ISL_1299858","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1299860","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1299861","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1299871","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1299882","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1299884","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_766864","20B","B.1.1"
"EPI_ISL_766872","20A","B.1"
"EPI_ISL_539496","20A","B.1"
"EPI_ISL_1347898","20D","C.16"
"EPI_ISL_1347918","20C","B.1"
"EPI_ISL_1347920","20D","C.16"
"EPI_ISL_1347930","20D","C.16"
"EPI_ISL_1347933","20D","C.16"
"EPI_ISL_1347942","19B","A"
"EPI_ISL_1545302","20A","B.1.214.3"
"EPI_ISL_1545315","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1545369","20D","C.16"
"EPI_ISL_849198","20C","B.1.499"
"EPI_ISL_849318","20B","N.3"
"EPI_ISL_849361","20B","N.5"
"EPI_ISL_856773","20B","N.5"
"EPI_ISL_2105567","20B","P.2"
"EPI_ISL_2105573","20B","P.2"
"EPI_ISL_2104813","20D","C.37"
"EPI_ISL_2104814","20B","B.1.1.519"
"EPI_ISL_2104815","20B","B.1.1.348"
"EPI_ISL_2104824","20B","N.5"
"EPI_ISL_2104826","20B","N.5"
"EPI_ISL_2135137","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2135138","20B","B.1.1.348"
"EPI_ISL_2135149","20B","N.5"
"EPI_ISL_2135262","20C","B.1.499"
"EPI_ISL_2135276","20B","N.5"
"EPI_ISL_2135280","20J (Gamma, V3)","P.1"
"EPI_ISL_2136088","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2136093","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2135691","20B","N.5"
"EPI_ISL_2135694","20J (Gamma, V3)","P.1"
"EPI_ISL_2135702","20J (Gamma, V3)","P.1"
"EPI_ISL_2136018","20B","N.5"
"EPI_ISL_2136046","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2136061","20J (Gamma, V3)","P.1.2"
"EPI_ISL_2136063","20J (Gamma, V3)","P.1"
"EPI_ISL_2136120","20J (Gamma, V3)","P.1"
"EPI_ISL_2140047","20J (Gamma, V3)","P.1"
"EPI_ISL_2140072","20B","P.2"
"EPI_ISL_2140095","20D","C.37"
"EPI_ISL_2140123","20B","N.5"
"EPI_ISL_2158730","20J (Gamma, V3)","P.1.2"
"EPI_ISL_2158767","20J (Gamma, V3)","P.1.2"
