"","Var1","Freq","site"
"1","1996-03-01",1,"452"
"2","2020",13,"452"
"3","2020-03-06",1,"452"
"4","2020-03-17",1,"452"
"5","2020-04-05",1,"452"
"6","2020-04-06",1,"452"
"7","2020-04-08",1,"452"
"8","2020-04-11",1,"452"
"9","2020-04-12",1,"452"
"10","2020-04-13",3,"452"
"11","2020-04-14",1,"452"
"12","2020-04-15",2,"452"
"13","2020-04-20",2,"452"
"14","2020-04-21",1,"452"
"15","2020-04-22",1,"452"
"16","2020-04-23",2,"452"
"17","2020-04-26",1,"452"
"18","2020-04-30",1,"452"
"19","2020-05",1,"452"
"20","2020-05-04",1,"452"
"21","2020-05-08",1,"452"
"22","2020-05-11",1,"452"
"23","2020-05-14",1,"452"
"24","2020-05-16",1,"452"
"25","2020-05-21",1,"452"
"26","2020-05-27",1,"452"
"27","2020-06",1,"452"
"28","2020-06-07",1,"452"
"29","2020-06-09",1,"452"
"30","2020-06-25",2,"452"
"31","2020-07-02",5,"452"
"32","2020-07-04",1,"452"
"33","2020-07-06",2,"452"
"34","2020-07-07",1,"452"
"35","2020-07-10",2,"452"
"36","2020-07-13",2,"452"
"37","2020-07-14",1,"452"
"38","2020-07-17",1,"452"
"39","2020-07-19",2,"452"
"40","2020-07-22",1,"452"
"41","2020-07-28",1,"452"
"42","2020-07-29",2,"452"
"43","2020-07-30",3,"452"
"44","2020-07-31",4,"452"
"45","2020-08",1,"452"
"46","2020-08-03",1,"452"
"47","2020-08-06",1,"452"
"48","2020-08-15",1,"452"
"49","2020-08-19",1,"452"
"50","2020-08-21",1,"452"
"51","2020-08-22",1,"452"
"52","2020-08-24",1,"452"
"53","2020-09",1,"452"
"54","2020-09-03",1,"452"
"55","2020-09-05",1,"452"
"56","2020-09-07",1,"452"
"57","2020-09-09",1,"452"
"58","2020-09-11",1,"452"
"59","2020-09-12",1,"452"
"60","2020-09-14",1,"452"
"61","2020-09-17",1,"452"
"62","2020-09-19",1,"452"
"63","2020-09-22",2,"452"
"64","2020-09-23",1,"452"
"65","2020-09-26",2,"452"
"66","2020-09-27",1,"452"
"67","2020-09-28",3,"452"
"68","2020-09-30",1,"452"
"69","2020-10-02",2,"452"
"70","2020-10-03",1,"452"
"71","2020-10-04",2,"452"
"72","2020-10-05",3,"452"
"73","2020-10-08",1,"452"
"74","2020-10-09",1,"452"
"75","2020-10-10",1,"452"
"76","2020-10-12",3,"452"
"77","2020-10-15",2,"452"
"78","2020-10-16",2,"452"
"79","2020-10-18",1,"452"
"80","2020-10-19",1,"452"
"81","2020-10-20",3,"452"
"82","2020-10-21",2,"452"
"83","2020-10-22",4,"452"
"84","2020-10-23",5,"452"
"85","2020-10-24",5,"452"
"86","2020-10-25",1,"452"
"87","2020-10-26",8,"452"
"88","2020-10-29",7,"452"
"89","2020-10-30",4,"452"
"90","2020-10-31",2,"452"
"91","2020-11",1,"452"
"92","2020-11-01",4,"452"
"93","2020-11-02",16,"452"
"94","2020-11-03",7,"452"
"95","2020-11-04",4,"452"
"96","2020-11-05",4,"452"
"97","2020-11-06",7,"452"
"98","2020-11-07",6,"452"
"99","2020-11-08",3,"452"
"100","2020-11-09",27,"452"
"101","2020-11-10",10,"452"
"102","2020-11-11",9,"452"
"103","2020-11-12",8,"452"
"104","2020-11-13",6,"452"
"105","2020-11-14",11,"452"
"106","2020-11-15",6,"452"
"107","2020-11-16",28,"452"
"108","2020-11-17",9,"452"
"109","2020-11-18",17,"452"
"110","2020-11-19",12,"452"
"111","2020-11-20",5,"452"
"112","2020-11-21",12,"452"
"113","2020-11-22",8,"452"
"114","2020-11-23",43,"452"
"115","2020-11-24",37,"452"
"116","2020-11-25",18,"452"
"117","2020-11-26",7,"452"
"118","2020-11-27",15,"452"
"119","2020-11-28",16,"452"
"120","2020-11-29",24,"452"
"121","2020-11-30",81,"452"
"122","2020-12",7,"452"
"123","2020-12-01",32,"452"
"124","2020-12-02",48,"452"
"125","2020-12-03",35,"452"
"126","2020-12-04",32,"452"
"127","2020-12-05",18,"452"
"128","2020-12-06",9,"452"
"129","2020-12-07",56,"452"
"130","2020-12-08",46,"452"
"131","2020-12-09",71,"452"
"132","2020-12-10",68,"452"
"133","2020-12-11",55,"452"
"134","2020-12-12",32,"452"
